#POS tags	Token type name
<END>	BADWORD
<START>	BADWORD
ABL	BADWORD
ABN	BADWORD
ABX	BADWORD
AP	BADWORD
APOS	BADWORD
AT	BADWORD
BE	IS
BED	IS
BEDZ	IS
BEG	IS
BEM	IS
BEN	IS
BER	IS
BEZ	IS
CC	BADWORD
CD	NUMBER
CLOSEPAREN	CLOSE
COLON	ANNOTATION_SPLIT
COMMA	COMMA
CS	BADWORD
DASH	DASH
DO	DOES
DOD	DOES
DOZ	DOES
DQUOTE	QUOTE
DT	BADWORD
DTI	BADWORD
DTS	BADWORD
DTX	BADWORD
EX	BADWORD
HV	HAS
HVD	HAS
HVG	HAS
HVN	HAS
HVZ	HAS
IN	PARTICLE
JJ	ADJECTIVE
JJR	ADJECTIVE
JJS	ADJECTIVE
JJT	ADJECTIVE
MD	BADWORD
NN	COMMON_NOUN
NNS	COMMON_NOUN
NOT	NOT
NP	PROPER_NOUN
NPS	PROPER_NOUN
NR	COMMON_NOUN
NRS	COMMON_NOUN
OD	ADJECTIVE
OPENPAREN	OPEN
PERIOD	PERIOD
PN	BADWORD
POSS	BADWORD
PPL	ITSELF
PPLS	ITSELF
PPO	BADWORD
PPS	BADWORD
PPSS	BADWORD
PPx	BADWORD
PPxx	BADWORD
QL	BADWORD
QLP	BADWORD
RB	BADWORD
RBR	BADWORD
RBT	BADWORD
RN	BADWORD
RP	PARTICLE
TIC	BADWORD
TO	TO
VB	PREDICATE
VBD	PREDICATE
VBG	PREDICATE
VBN	PREDICATE
VBZ	PREDICATE
WDT	BADWORD
WPO	BADWORD
WPS	BADWORD
WPx	BADWORD
WQL	BADWORD
WRB	BADWORD
