#Token Type Name	WordType
ADJECTIVE	ADJECTIVE
BAD	BADWORD
MODAL	BADWORD
QUOTE	BADWORD
AND	BOOLEAN_SET_TYPE
ONEOF	BOOLEAN_SET_TYPE
OR	BOOLEAN_SET_TYPE
ITSELF	COMMON_NOUN
NOUN	COMMON_NOUN
FACET	DATA_FACET
FRAC_DIGITS_OF	DATA_FACET
LANG_RANGE_OF	DATA_FACET
LENGTH_OF	DATA_FACET
MAX_LENGTH_OF	DATA_FACET
MIN_LENGTH_OF	DATA_FACET
PATTERN_OF	DATA_FACET
TOTAL_DIGITS_OF	DATA_FACET
DATATYPE	DATATYPE
QUOTED_TEXT	DATAVALUE
ANNOTATION_FLAG	GENERIC_WORD
CLOSE	GENERIC_WORD
COMMA	GENERIC_WORD
DATA_FLAG	GENERIC_WORD
DECIMAL	GENERIC_WORD
INTEGER	INTEGER
INVERSE_OF	GENERIC_WORD
NUMBER	GENERIC_WORD
OBJECT_FLAG	GENERIC_WORD
ONLY	GENERIC_WORD
OPEN	GENERIC_WORD
PERIOD	GENERIC_WORD
TO	GENERIC_WORD
NEGATIVE	NEGATIVE
NO	NEGATIVE
NONE	NEGATIVE
NOT	NEGATIVE
BY	PASSIVE_MARKER
DOES	PREDICATE
HAS	PREDICATE
IS	PREDICATE
IS_ONLY	PREDICATE
PREDICATE	PREDICATE
PRED_CHAR	PREDICATE_CHARACTERISTIC
PARTICLE	PREDICATE_PARTICLE
PROPER	PROPER_NOUN
A	QUANTIFIER
EVERY	QUANTIFIER
EXACT	QUANTIFIER
LESS_THAN	QUANTIFIER
LESS_THAN_OR_EQUAL	QUANTIFIER
MORE_THAN	QUANTIFIER
MORE_THAN_OR_EQUAL	QUANTIFIER
SAME_AS	QUANTIFIER
SOME	QUANTIFIER
THE	QUANTIFIER
THAT	RELATIVE_MARKER
